pitch,roll,yawRate,distanceCM,pressureDeltaPa,isDriving,gForce,smoothedTotalEnergy,label_isHandling,label_isFreeFalling,label_hazardDetected,label_isImpactDetected
-5.114,-1.725,-0.001,228.07,0,0,1.045,0.208,0,0,0,0
-5.117,-1.728,-0.002,228.07,0,0,1.023,0.217,0,0,0,0
-5.117,-1.728,-0.002,228.07,0,0,1.023,0.217,0,0,0,0
-5.118,-1.736,0.003,228.07,0,0,1.051,0.217,0,0,0,0
-5.118,-1.736,0.003,221.44,0.34,0,1.051,0.217,0,0,0,0
-5.118,-1.736,0.003,221.44,0.34,0,1.051,0.217,0,0,0,0
-5.118,-1.736,0.003,221.44,0.34,0,1.051,0.217,0,0,0,0
-5.117,-1.734,0,220.53,0.16,0,1.048,0.264,0,0,0,0
-5.117,-1.734,0,220.53,0.16,0,1.048,0.264,0,0,0,0
-5.121,-1.734,0.002,220.53,0.18,0,1.047,0.264,0,0,0,0
-5.121,-1.734,0.002,220.53,0.18,0,1.047,0.22,0,0,0,0
-5.121,-1.734,0.002,220.53,0.18,0,1.047,0.22,0,0,0,0
-5.121,-1.734,0.002,220.53,0.18,0,1.047,0.22,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.22,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.22,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.22,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.168,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.168,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.168,0,0,0,0
-5.121,-1.732,0,220.53,0,0,1.03,0.168,0,0,0,0
-5.123,-1.728,0,220.53,0,0,1.052,0.168,0,0,0,0
-5.123,-1.728,0,220.53,0,0,1.052,0.168,0,0,0,0
-5.123,-1.728,0,220.53,0,0,1.052,0.168,0,0,0,0
-5.128,-1.726,-0.001,220.53,0,0,1.036,0.168,0,0,0,0
-5.128,-1.726,-0.001,220.53,0,0,1.036,0.168,0,0,0,0
-5.128,-1.726,-0.001,220.53,0,0,1.036,0.168,0,0,0,0
